id,owner,created,Utility,nParams,downloads,totalDownloads
timm/convnext_xlarge.fb_in22k_ft_in1k,timm,2022-12-13,0.8697,350200000.0,5410,48359
timm/swinv2_large_window12to16_192to256.ms_in22k_ft_in1k,timm,2023-03-18,0.86934,196740000.0,53186,251171
timm/maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k,timm,2023-01-20,0.86908,116140000.0,556,24419
timm/convformer_m36.sail_in22k_ft_in1k_384,timm,2023-05-05,0.8686799999999999,57050000.0,75,4595
timm/caformer_s36.sail_in22k_ft_in1k_384,timm,2023-05-05,0.8686400000000001,39300000.0,368,18874
timm/regnety_320.swag_ft_in1k,timm,2023-03-21,0.8686,145050000.0,164,12882
timm/tf_efficientnet_b7.ns_jft_in1k,timm,2022-12-13,0.8685200000000001,66349999.99999999,8615,995312
timm/hiera_huge_224.mae_in1k_ft_in1k,timm,2024-05-13,0.86834,672780000.0,247,2806
timm/convnext_base.fb_in22k_ft_in1k_384,timm,2022-12-13,0.8682599999999999,88590000.0,8675,147540
timm/beit_base_patch16_384.in22k_ft_in22k_in1k,timm,2022-12-23,0.86816,86740000.0,514,26474
timm/tf_efficientnetv2_l.in21k_ft_in1k,timm,2022-12-13,0.86802,118520000.0,9054,107270
timm/volo_d4_448.sail_in1k,timm,2023-04-13,0.8679000000000001,193410000.0,206,7157
timm/convnextv2_base.fcmae_ft_in22k_in1k,timm,2023-01-05,0.86752,88720000.0,25060,307637
timm/tf_efficientnetv2_xl.in21k_ft_in1k,timm,2022-12-13,0.86748,208120000.0,15873,204382
timm/deit3_base_patch16_384.fb_in22k_ft_in1k,timm,2023-03-28,0.86744,86880000.0,237,11129
timm/seresnextaa101d_32x8d.sw_in12k_ft_in1k_288,timm,2023-04-05,0.86722,93590000.0,894,33098
timm/maxxvitv2_rmlp_base_rw_224.sw_in12k_ft_in1k,timm,2023-01-20,0.86638,116090000.0,899,19370
timm/vit_base_patch16_clip_384.laion2b_ft_in1k,timm,2022-11-09,0.86638,86860000.0,1266,10621
timm/convnextv2_huge.fcmae_ft_in1k,timm,2023-01-05,0.86618,660290000.0,470,31999
timm/convnext_large.fb_in22k_ft_in1k,timm,2022-12-13,0.86612,197770000.0,6803,70902
timm/caformer_m36.sail_in22k_ft_in1k,timm,2023-05-05,0.8660800000000001,56200000.0,204,8390
timm/vit_mediumd_patch16_reg4_gap_256.sbb2_e200_in12k_ft_in1k,timm,2024-08-21,0.86604,64110000.0,854,3622
timm/vit_betwixt_patch16_reg4_gap_384.sbb2_e200_in12k_ft_in1k,timm,2024-08-21,0.86602,60600000.0,309,1309
timm/maxvit_base_tf_512.in1k,timm,2022-12-02,0.86598,119880000.0,2030,42716
timm/coatnet_2_rw_224.sw_in12k_ft_in1k,timm,2023-01-20,0.8658,73870000.0,785,76063
timm/nextvit_large.bd_ssld_6m_in1k_384,timm,2024-02-11,0.86542,57870000.0,339,3361
timm/coatnet_rmlp_2_rw_224.sw_in12k_ft_in1k,timm,2023-01-20,0.8654000000000001,73880000.0,664,14070
timm/seresnextaa101d_32x8d.sw_in12k_ft_in1k_288,timm,2023-04-05,0.86536,93590000.0,894,33098
timm/maxvit_large_tf_512.in1k,timm,2022-12-02,0.8653400000000001,212330000.0,992,472163
timm/seresnextaa101d_32x8d.sw_in12k_ft_in1k,timm,2023-04-05,0.8651800000000001,93590000.0,934,45209
timm/volo_d3_448.sail_in1k,timm,2023-04-13,0.86512,86630000.0,543,25979
timm/beitv2_base_patch16_224.in1k_ft_in22k_in1k,timm,2022-12-23,0.86494,86530000.0,2542,66628
timm/convnext_base.clip_laiona_augreg_ft_in1k_384,timm,2023-02-03,0.86488,88590000.0,432,10051
timm/cait_m48_448.fb_dist_in1k,timm,2023-04-13,0.86482,356460000.0,3682,44097
timm/tf_efficientnet_b6.ns_jft_in1k,timm,2022-12-13,0.86476,43040000.0,1802,44418
timm/tiny_vit_21m_512.dist_in22k_ft_in1k,timm,2023-09-01,0.86452,21270000.0,1816,37542
timm/swin_base_patch4_window12_384.ms_in22k_ft_in1k,timm,2023-03-18,0.86438,87900000.0,18115,90139
timm/caformer_b36.sail_in1k_384,timm,2023-05-05,0.8640399999999999,98750000.0,115,4343
